CMTE_ID,CMTE_NM,CMTE_ST1,CMTE_ST2,CMTE_CITY,CMTE_ST,CMTE_ZIP,CAND_ID,CAND_NM,RPT_YR,RPT_TP,TERM_RPT_FLAG,AMNDT_IND,RECEIPT_DT,CVG_START_DT,CVG_END_DT,RPT_PGI,COH_BOP,TTL_RECEIPTS_SUM_PAGE_PER,SUBTTL_SUM_PAGE_PER,TTL_DISB_SUM_PAGE_PER,COH_COP,DEBTS_OWED_TO_CMTE,DEBTS_OWED_BY_CMTE,EXP_SUBJECT_LIMITS,NET_CONTB_SUM_PAGE_PER,NET_OP_EXP_SUM_PAGE_PER,FED_FUNDS_PER,INDV_CONTB_PER,POL_PTY_CMTE_CONTB_PER,OTHER_POL_CMTE_CONTB_PER,CAND_CONTB_PER,TTL_CONTB_PER,TRANF_FROM_AFFILATED_CMTE_PER,LOANS_RECEIVED_FROM_CAND_PER,OTHER_LOANS_RECEIVED_PER,TTL_LOANS_RECEIVED_PER,OFFSETS_TO_OP_EXP_PER,OFFSETS_TO_FNDRSG_EXP_PER,OFFSETS_TO_LEGAL_ACCTG_PER,TTL_OFFSETS_TO_OP_EXP_PER,OTHER_RECEIPTS_PER,TTL_RECEIPTS_PER,OP_EXP_PER,TRANF_TO_OTHER_AUTH_CMTE_PER,FNDRSG_DISB_PER,EXEMPT_LEGAL_ACCTG_DISB_PER,REPYMTS_LOANS_MADE_BY_CAND_PER,REPYMTS_OTHER_LOANS_PER,TTL_LOAN_REPYMTS_MADE_PER,REF_INDV_CONTB_PER,REF_POL_PTY_CMTE_CONTB_PER,REF_OTHER_POL_CMTE_CONTB_PER,TTL_CONTB_REF_PER,OTHER_DISB_PER,TTL_DISB_PER,ITEMS_ON_HAND_LIQUIDATED,TTL_PER,FED_FUNDS_YTD,INDV_CONTB_YTD,POL_PTY_CMTE_CONTB_YTD,OTHER_POL_CMTE_CONTB_YTD,CAND_CONTB_YTD,TTL_CONTB_YTD,TRANF_FROM_AFFILIATED_CMTE_YTD,LOANS_RECEIVED_FROM_CAND_YTD,OTHER_LOANS_RECEIVED_YTD,TTL_LOANS_RECEIVED_YTD,OFFSETS_TO_OP_EXP_YTD,OFFSETS_TO_FNDRSG_EXP_YTD,OFFSETS_TO_LEGAL_ACCTG_YTD,TTL_OFFSETS_TO_OP_EXP_YTD,OTHER_RECEIPTS_YTD,TTL_RECEIPTS_YTD,OP_EXP_YTD,TRANF_TO_OTHER_AUTH_CMTE_YTD,FNDRSG_DISB_YTD,EXEMPT_LEGAL_ACCTG_DISB_YTD,REPYMTS_LOANS_MADE_CAND_YTD,REPYMTS_OTHER_LOANS_YTD,TTL_LOAN_REPYMTS_MADE_YTD,REF_INDV_CONTB_YTD,REF_POL_PTY_CMTE_CONTB_YTD,REF_OTHER_POL_CMTE_CONTB_YTD,TTL_CONTB_REF_YTD,OTHER_DISB_YTD,TTL_DISB_YTD,TTL_YTD,TRES_SIGN_NM,TRES_SIGN_DT,FILE_NUM
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2015,"Q2",,A,15-JUL-15,01-APR-15,30-JUN-15,,0,47549949.64,47549949.64,18699814.02,28850135.62,0,574147.67,0,47053723.88,18203538.26,0,46938582.3,0,332396.25,278821.09,47549799.64,0,0,0,0,150,0,0,150,0,47549949.64,18203688.26,0,0,0,0,0,0,495075.76,0,1000,496075.76,50,18699814.02,0,0,0,46938582.3,0,332396.25,278821.09,47549799.64,0,0,0,0,150,0,0,150,0,47549949.64,18203688.26,0,0,0,0,0,0,495075.76,0,1000,496075.76,50,18699814.02,0,"VILLARREAL, JOSE H.",03-SEP-15,1024052
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","101855256","P00003392","CLINTON, HILLARY RODHAM",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,28850135.62,29921653.91,58771789.53,25776617.14,32995172.39,0,647245.1,0,76045487.78,43055887.57,0,29139273.6,0,306064,0,29445337.6,0,0,0,0,470644.13,0,0,470644.13,5672.18,29921653.91,25322993.44,0,0,0,0,0,0,451573.7,0,2000,453573.7,50,25776617.14,0,0,0,76077855.9,0,638460.25,278821.09,76995137.24,0,0,0,0,470794.13,0,0,470794.13,5672.18,77471603.55,43526681.7,0,0,0,0,0,0,946649.46,0,3000,949649.46,100,44476431.16,0,"VILLARREAL, JOSE H.",15-OCT-15,1029510
C00578492,"SANTORUM FOR PRESIDENT","P.O. BOX 238","","VERONA","PA","15147","P20002721","SANTORUM, RICHARD J.",2015,"Q2",,N,15-JUL-15,01-APR-15,30-JUN-15,,0,607617.07,607617.07,375598.81,232018.26,0,124638.55,375598.81,606990.77,375598.81,0,606990.77,0,0,0,606990.77,0,0,0,0,0,0,0,0,626.3,607617.07,375598.81,0,0,0,0,0,0,0,0,0,0,0,375598.81,0,0,0,606990.77,0,0,0,606990.77,0,0,0,0,0,0,0,0,626.3,607617.07,375598.81,0,0,0,0,0,0,0,0,0,0,0,375598.81,0,"ROTHMAN, GREG",15-JUL-15,1015257
C00496034,"RICK SANTORUM FOR PRESIDENT, INC (2012)","PO BOX 238","","VERONA","PA","15147","P20002721","SANTORUM, RICHARD J.",2015,"Q2",,N,15-JUL-15,01-APR-15,30-JUN-15,,5703.73,17056.6,22760.33,12311.27,10449.06,0,448735.09,0,-2033.38,659323.96,0,445,0,0,0,445,0,0,0,0,0,0,0,0,16611.6,17056.6,10811.27,0,0,0,0,0,0,1500,0,0,1500,0,12311.27,0,0,0,5389.62,0,0,0,5389.62,0,0,0,0,92840.77,0,0,92840.77,398087.54,496317.93,752164.73,0,0,0,0,0,0,7423,0,0,7423,1019.6,760607.33,0,"ROTHMAN, GREG",15-JUL-15,1015452
C00578492,"SANTORUM FOR PRESIDENT","PO BOX 238","","VERONA","PA","15147","P20002721","SANTORUM, RICHARD J.",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,232018.26,387985.42,620003.68,393477.76,226525.92,0,67350.89,0,993276.19,767376.57,0,387985.42,0,0,0,387985.42,0,0,0,0,0,0,0,0,0,387985.42,391777.76,0,0,0,0,0,0,1700,0,0,1700,0,393477.76,0,0,0,994976.19,0,0,0,994976.19,0,0,0,0,0,0,0,0,626.3,995602.49,767376.57,0,0,0,0,0,0,1700,0,0,1700,0,769076.57,0,"ROTHMAN, GREG",15-OCT-15,1029662
C00496034,"RICK SANTORUM FOR PRESIDENT, INC (2012)","PO BOX 238","","VERONA","PA","15147","P20002721","SANTORUM, RICHARD J.",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,10449.06,4126.41,14575.47,1227.6,13347.87,0,450408.48,0,-2033.38,660281.31,0,0,0,0,0,0,0,0,0,0,270.25,0,0,270.25,3856.16,4126.41,1227.6,0,0,0,0,0,0,0,0,0,0,0,1227.6,0,0,0,5389.62,0,0,0,5389.62,0,0,0,0,93111.02,0,0,93111.02,401943.7,500444.34,753392.33,0,0,0,0,0,0,7423,0,0,7423,1019.6,761834.93,0,"ROTHMAN, GREG",15-OCT-15,1029664
C00500587,"PERRY FOR PRESIDENT INC.","PO BOX 162406","","AUSTIN","TX","78716","P20003281","PERRY, JAMES R. (RICK)",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,P2016,883913.12,287199.29,1171112.41,1126558.82,44553.59,0,0,0,1256810.54,1611138.27,0,246159.11,0,6040.18,0,252199.29,0,0,0,0,35000,0,0,35000,0,287199.29,1061648.34,0,0,0,0,0,0,64910.48,0,0,64910.48,0,1126558.82,0,0,0,1329276,0,7040.18,0,1336316.18,0,0,0,0,90367.5,0,0,90367.5,0,1426683.68,1701505.77,0,0,0,0,0,0,79505.64,0,0,79505.64,0,1781011.41,0,"BOX, RICHARD DR.",15-OCT-15,1028934
C00500587,"PERRY FOR PRESIDENT INC.","PO BOX 162406","","AUSTIN","TX","78716","P20003281","PERRY, JAMES R. (RICK)",2015,"Q2",,N,15-JUL-15,01-APR-15,30-JUN-15,P2016,342088.67,1139366.89,1481455.56,597542.44,883913.12,0,0,0,1069521.73,584489.93,0,1083116.89,0,1000,0,1084116.89,0,0,0,0,55250,0,0,55250,0,1139366.89,592947.28,0,0,0,0,0,0,4595.16,0,0,4595.16,0,597542.44,0,0,0,1083116.89,0,1000,0,1084116.89,0,0,0,0,55367.5,0,0,55367.5,0,1139484.39,639857.43,0,0,0,0,0,0,14595.16,0,0,14595.16,0,654452.59,0,"BOX, RICHARD DR.",15-JUL-15,1014957
C00575449,"RAND PAUL FOR PRESIDENT, INC.","PO BOX 77681","","WASHINGTON","DC","20013","P40003576","PAUL, RAND",2015,"Q2",,N,15-JUL-15,01-APR-15,30-JUN-15,,0,6932779.14,6932779.14,2771264,4161515.14,0,716442.99,2720951.65,5295403.69,2720951.65,0,5294304.93,0,31505.62,0,5325810.55,1589559.14,0,0,0,17405.49,0,0,17405.49,3.96,6932779.14,2738357.14,1500,0,0,0,0,0,30406.86,0,0,30406.86,1000,2771264,0,0,0,5294304.93,0,31505.62,0,5325810.55,1589559.14,0,0,0,17405.49,0,0,17405.49,3.96,6932779.14,2738357.14,1500,0,0,0,0,0,30406.86,0,0,30406.86,1000,2771264,0,"KILGORE, PAUL",15-JUL-15,1015683
C00575449,"RAND PAUL FOR PRESIDENT, INC.","PO BOX 77681","","WASHINGTON","DC","20013","P40003576","PAUL, RAND",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,4161515.14,2509251.63,6670766.77,4546611.25,2124155.52,0,365359.11,7220129.01,7700910.93,7220129.01,0,2428433.6,0,9584.1,0,2438017.7,57867.7,0,0,0,12807.71,0,0,12807.71,558.52,2509251.63,4511985.07,2115.72,0,0,0,0,0,15002.84,0,17507.62,32510.46,0,4546611.25,0,0,0,7722738.53,0,41089.72,0,7763828.25,1647426.84,0,0,0,30213.2,0,0,30213.2,562.48,9442030.77,7250342.21,3615.72,0,0,0,0,0,45409.7,0,17507.62,62917.32,1000,7317875.25,0,"KILGORE, PAUL",15-OCT-15,1029245
C00581876,"KASICH FOR AMERICA","65 E. STATE ST., STE. 2100","","COLUMBUS","OH","43215","P60003670","KASICH, JOHN R.",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,0,4376787.95,4376787.95,1734838.32,2641949.63,0,0,1732888.59,4374838.22,1732888.59,0,4235565.6,0,139272.62,0,4374838.22,0,0,0,0,1949.73,0,0,1949.73,0,4376787.95,1734838.32,0,0,0,0,0,0,0,0,0,0,0,1734838.32,0,0,0,4235565.6,0,139272.62,0,4374838.22,0,0,0,0,1949.73,0,0,1949.73,0,4376787.95,1734838.32,0,0,0,0,0,0,0,0,0,0,0,1734838.32,0,"MARSHALL, SUZANNE",15-OCT-15,1029674
C00573519,"CARSON AMERICA"," 1800 DIAGONAL ROAD","STE 140","ALEXANDRIA","VA","22314","P60005915","CARSON, BENJAMIN S.",2015,"Q1",,N,15-APR-15,01-JAN-15,31-MAR-15,,0,2173193.77,2173193.77,480157.34,1693036.43,0,25000,0,2145231,477194.57,0,2145231,0,0,0,2145231,0,25000,0,25000,2962.77,0,0,2962.77,0,2173193.77,480157.34,0,0,0,0,0,0,0,0,0,0,0,480157.34,0,0,0,2145231,0,0,0,2145231,0,25000,0,25000,2962.77,0,0,2962.77,0,2173193.77,480157.34,0,0,0,0,0,0,0,0,0,0,0,480157.34,0,"DELANY, LOGAN D JR",15-APR-15,1003942
C00573519,"CARSON AMERICA"," 1800 DIAGONAL ROAD","STE 140","ALEXANDRIA","VA","22314","P60005915","CARSON, BENJAMIN S.",2015,"Q3",,N,15-OCT-15,01-JUL-15,30-SEP-15,,4745312.13,20767266.51,25512578.64,14240044.51,11272534.13,0,25000,0,31249991.93,20002457.8,0,20723541.91,0,1230.98,0,20724772.89,0,0,0,0,42493.62,0,0,42493.62,0,20767266.51,14165863.87,0,0,0,0,0,0,74180.64,0,0,74180.64,0,14240044.51,0,0,0,31333935.12,0,2088.29,0,31336023.41,0,25000,0,25000,48485.2,0,0,48485.2,0,31409508.61,20050943,0,0,0,0,0,0,86031.48,0,0,86031.48,0,20136974.48,0,"DELANY, LOGAN D JR",15-OCT-15,1029311
C00573519,"CARSON AMERICA"," 1800 DIAGONAL ROAD","STE 140","ALEXANDRIA","VA","22314","P60005915","CARSON, BENJAMIN S.",2015,"Q2",,A,15-JUL-15,01-APR-15,30-JUN-15,,1693036.43,8469048.33,10162084.76,5416772.63,4745312.13,0,25000,0,10599399.68,5879087.55,0,8465162.21,0,857.31,0,8466019.52,0,0,0,0,3028.81,0,0,3028.81,0,8469048.33,5404921.79,0,0,0,0,0,0,11850.84,0,0,11850.84,0,5416772.63,0,0,0,10610393.21,0,857.31,0,10611250.52,0,25000,0,25000,5991.58,0,0,5991.58,0,10642242.1,5885079.13,0,0,0,0,0,0,11850.84,0,0,11850.84,0,5896929.97,0,"DELANY, LOGAN D JR",09-SEP-15,1024324
C00580480,"SCOTT WALKER INC","PO BOX 620590","","MIDDLETON","WI","53562","P60006046","WALKER, SCOTT",2015,"Q3",,N,15-OCT-15,17-JUN-15,30-SEP-15,,0,7379170.56,7379170.56,6393957.13,985213.43,0,161133.45,0,7356691.11,6371557.13,0,7354151.11,0,23400,0,7377551.11,0,0,0,0,1540,0,0,1540,79.45,7379170.56,6373097.13,0,0,0,0,0,0,15860,0,5000,20860,0,6393957.13,0,0,0,7354151.11,0,23400,0,7377551.11,0,0,0,0,1540,0,0,1540,79.45,7379170.56,6373097.13,0,0,0,0,0,0,15860,0,5000,20860,0,6393957.13,0,"LIND, KATE",15-OCT-15,1028979
